336.1139 	EXP 	Rect: autoDraw = None
336.1139 	EXP 	Rect: autoDraw = None
336.1139 	EXP 	Rect: autoDraw = None
336.1139 	EXP 	TextStim: opacity = None
336.1139 	EXP 	Set debugText opacity=0.0
336.1139 	EXP 	Set debugText text=targetStart: 0.55
target_time: 50
target_side: left
cue_side: left
336.1139 	EXP 	Rect: pos = None
336.1139 	EXP 	Set cue pos=[-8.  0.]
336.1139 	EXP 	Rect: pos = None
336.1139 	EXP 	Set target pos=[-8.  0.]
336.1139 	EXP 	Rect: opacity = None
336.1139 	EXP 	Set target opacity=1.0
336.1139 	EXP 	TextStim: autoDraw = None
336.1139 	EXP 	Rect: autoDraw = None
336.1139 	EXP 	Rect: autoDraw = None
336.1139 	EXP 	Rect: autoDraw = None
336.6148 	EXP 	Rect: autoDraw = None
336.6392 	EXP 	Rect: autoDraw = None
336.7394 	EXP 	Rect: autoDraw = None
337.0735 	DATA 	Keypress: space
337.1383 	EXP 	Rect: autoDraw = None
338.0820 	EXP 	New trial (rep=0, index=10): {u'target_side': u'left', u'target_time': 200, u'cue_side': u'right'}
338.1076 	EXP 	TextStim: autoDraw = None
338.1076 	EXP 	Rect: autoDraw = None
338.1076 	EXP 	Rect: autoDraw = None
338.1076 	EXP 	Rect: autoDraw = None
338.1076 	EXP 	Rect: autoDraw = None
338.1076 	EXP 	Rect: autoDraw = None
338.1076 	EXP 	TextStim: opacity = None
338.1076 	EXP 	Set debugText opacity=0.0
338.1076 	EXP 	Set debugText text=targetStart: 0.7
target_time: 200
target_side: left
cue_side: right
338.1076 	EXP 	Rect: pos = None
338.1076 	EXP 	Set cue pos=[ 8.  0.]
338.1076 	EXP 	Rect: pos = None
338.1076 	EXP 	Set target pos=[-8.  0.]
338.1076 	EXP 	Rect: opacity = None
338.1076 	EXP 	Set target opacity=1.0
338.1076 	EXP 	TextStim: autoDraw = None
338.1076 	EXP 	Rect: autoDraw = None
338.1076 	EXP 	Rect: autoDraw = None
338.1076 	EXP 	Rect: autoDraw = None
338.6091 	EXP 	Rect: autoDraw = None
338.7378 	EXP 	Rect: autoDraw = None
338.7862 	EXP 	Rect: autoDraw = None
339.2652 	DATA 	Keypress: space
339.2882 	EXP 	Rect: autoDraw = None
340.0821 	EXP 	New trial (rep=0, index=11): {u'target_side': u'central', u'target_time': 50, u'cue_side': u'left'}
340.1132 	EXP 	TextStim: autoDraw = None
340.1132 	EXP 	Rect: autoDraw = None
340.1132 	EXP 	Rect: autoDraw = None
340.1132 	EXP 	Rect: autoDraw = None
340.1132 	EXP 	Rect: autoDraw = None
340.1132 	EXP 	Rect: autoDraw = None
340.1132 	EXP 	TextStim: opacity = None
340.1132 	EXP 	Set debugText opacity=0.0
340.1132 	EXP 	Set debugText text=targetStart: 0.55
target_time: 50
target_side: central
cue_side: left
340.1132 	EXP 	Rect: pos = None
340.1132 	EXP 	Set cue pos=[-8.  0.]
340.1132 	EXP 	Rect: pos = None
340.1132 	EXP 	Set target pos=[ 0.  0.]
340.1132 	EXP 	Rect: opacity = None
340.1132 	EXP 	Set target opacity=1.0
340.1132 	EXP 	TextStim: autoDraw = None
340.1132 	EXP 	Rect: autoDraw = None
340.1132 	EXP 	Rect: autoDraw = None
340.1132 	EXP 	Rect: autoDraw = None
340.6140 	EXP 	Rect: autoDraw = None
340.6384 	EXP 	Rect: autoDraw = None
340.7392 	EXP 	Rect: autoDraw = None
340.9957 	DATA 	Keypress: space
341.1381 	EXP 	Rect: autoDraw = None
342.0818 	EXP 	New trial (rep=0, index=12): {u'target_side': u'right', u'target_time': 50, u'cue_side': u'right'}
342.1059 	EXP 	TextStim: autoDraw = None
342.1059 	EXP 	Rect: autoDraw = None
342.1059 	EXP 	Rect: autoDraw = None
342.1059 	EXP 	Rect: autoDraw = None
342.1059 	EXP 	Rect: autoDraw = None
342.1059 	EXP 	Rect: autoDraw = None
342.1059 	EXP 	TextStim: opacity = None
342.1059 	EXP 	Set debugText opacity=0.0
342.1059 	EXP 	Set debugText text=targetStart: 0.55
target_time: 50
target_side: right
cue_side: right
